id_result,guid_result,id_platform,ts_result,ts_result_received,attr_location_timezone,id_device,attr_device_android_fingerprint,attr_device_model,attr_device_manufacturer,attr_device_model_raw,attr_device_manufacturer_raw,attr_device_brand_raw,attr_device_chipset,attr_device_chipset_manufacturer,attr_device_hardware_name,attr_device_os_version,attr_device_build,is_device_rooted,attr_device_radio,attr_device_ram_mb,attr_device_storage_mb,is_device_world_phone,attr_device_multi_sim_support,num_device_active_modems,num_device_supported_modems,is_device_concurrent_voice_data_supported,is_device_data_connection_allowed,is_device_data_capable,is_device_data_roaming_enabled,is_device_icc_card_present,attr_device_service_state,attr_device_thermal_status,val_device_thermal_headroom,is_app_permission_phone_state,is_app_permission_fine_location,is_app_permission_coarse_location,is_app_permission_background_location,is_app_permission_wifi_state,attr_sim_operator_common_name,attr_sim_operator_name_raw,attr_sim_operator_mcc,attr_sim_operator_mnc,attr_altsim_operator_name,attr_altsim_operator_mcc,attr_altsim_operator_mnc,attr_network_operator_mcc,attr_network_operator_mnc,attr_network_operator_common_name,attr_isp_common_name,attr_isp_name_raw,attr_sim_type_allocation_code,attr_sim_state,attr_test_method,attr_test_ip_version,id_connection_type_start,id_connection_type_end,num_connections_failed,is_connection_carrier_aggregation,attr_connection_nr_state,attr_connection_apn,id_connection_net_speed,is_connection_access_technology_nr,id_connection_network_override_type,attr_connection_downstream_bandwidth_kbps,attr_connection_upstream_bandwidth_kbps,attr_connection_nat64_prefix,attr_location_latitude,attr_location_longitude,attr_location_start_latitude,attr_location_start_longitude,id_location_start_type,id_location_end_type,attr_location_accuracy_m,attr_location_age_ms,attr_location_altitude_m,attr_location_vertical_accuracy_m,attr_location_speed_mps,attr_place_formatted_address,attr_place_name,attr_place_locality_type,attr_place_country,attr_place_country_code,attr_place_region,attr_place_subregion,attr_place_subsubregion,attr_place_postal_code,num_packet_loss_sent,num_packet_loss_received,metric_packet_loss_percent,is_download_stopped,val_latency_min_ms,val_latency_iqm_ms,val_latency_max_ms,val_multiserver_latency_ms,val_download_latency_min_ms,val_download_latency_iqm_ms,val_download_latency_max_ms,val_upload_latency_min_ms,val_upload_latency_iqm_ms,val_upload_latency_max_ms,num_traceroute_hops,attr_traceroute0_ip_address,val_traceroute0_latency_ms,attr_traceroute1_ip_address,val_traceroute1_latency_ms,val_jitter_ms,val_multiserver_jitter_ms,val_download_kbps,val_test_download_kb,num_test_download_threads,val_test_download_duration_ms,val_upload_kbps,val_test_upload_kb,num_test_upload_threads,val_test_upload_duration_ms,attr_network_ipv4_address,attr_network_ipv6_address,attr_network_asn,attr_app_version,attr_app_store,attr_server_name,attr_server_sponsor_name,attr_server_latitude,attr_server_longitude,val_server_distance_km,attr_server_country,attr_server_country_code,is_server_auto_selected,is_server_on_network,attr_server_asn,num_server_download,val_signal_rsrp_dbm,val_signal_csi_rsrp_dbm,val_signal_ss_rsrp_dbm,val_signal_rsrq_db,val_signal_csi_rsrq_db,val_signal_ss_rsrq_db,val_signal_rssnr_db,val_signal_csi_snr_db,val_signal_ss_snr_db,val_signal_wcdma_ecno_db,val_signal_rssi_dbm,val_signal_gsm_rssi_dbm,val_signal_timing_advance_ts,val_signal_cqi,attr_cell_nr_frequency_range,attr_cell_bandwidth_khz,attr_cell_bandwidths_khz,id_cell_primary,id_cell_lte_enodeb,attr_cell_pci,attr_cell_nr_pci,attr_cell_tac,attr_cell_lac,attr_cell_psc,attr_cell_frequency_channel,attr_cell_frequency_channel_type,attr_cell_nr_arfcn,attr_cell_lte_bands,attr_cell_nr_bands,is_network_roaming,is_network_international_roaming,is_network_vpn,is_device_5g_capable,is_portal_included,attr_portal_categories,attr_connection_type_start_string,attr_connection_type_end_string,attr_device_esim_embedded,id_cell_nr,id_cell_start,attr_network_operator_mcc_nr,attr_network_operator_mnc_nr,id_location_building,val_indoor_confidence_level
10965246688,B5FD092598C54290BE6F3A815220AAA6,1,2025-06-28T12:56:50.000Z,2025-06-28T12:56:50.000Z,Asia/Colombo,487529704,samsung/e3qxxx/e3q:14/UP1A.231005.007/S928BXXS4AYB8:user/release-keys,Galaxy S24 Ultra,Samsung,SM-S928B,samsung,samsung,Snapdragon 8 Gen 3,Qualcomm,qcom,34,UP1A.231005.007,FALSE,"S928BXXS4AYB8,S928BXXS4AYB8",11090,233734,FALSE,0,2,2,TRUE,TRUE,TRUE,FALSE,TRUE,0,1,0.8767,TRUE,TRUE,TRUE,,TRUE,Hutch,Hutch,413,8,Hutch,413,8,413,8,Hutch,Hutch,Hutch Sri Lanka,35447223,5,tcp,4,17,17,0,FALSE,0,htwap,4,FALSE,0,2763,440,,7.082,79.89,7.08,79.888,1,1,88,2723,-299,2,,"Ja-Ela, Sri Lanka",Ja-Ela,locality,Sri Lanka,LK,Western Province,Gampaha,,,295,295,0,FALSE,38,44.429,64.46,47.2592,407.045,2374.197,3444.631,177.549,630.246,1285.371,,,,,,9.3,2.7323,4825,7877,16,15003,2030,4726,2,14688,103.21.164.0,,132447,5.5.1,google,Kollupitiya,Lanka Communication Pvt Ltd,6.9128,79.8507,19,Sri Lanka,LK,TRUE,FALSE,5087,4,,,,,,,,,,0,-24,,,,0,,,20352341,,,,30901,30901,318,10638,UARFCN,,,,FALSE,FALSE,FALSE,TRUE,TRUE,"3G,5G Capable,All Cell,Modern Chipset",HSPA+,HSPA+,FALSE,,20352341,413,8,,
10965949448,40B399B0275D4E8B93425B1D9AC44A62,1,2025-06-28T20:09:09.000Z,2025-06-28T20:09:09.000Z,Asia/Colombo,505463211,OPPO/PDYM20/OP4E21:12/SP1A.210812.016/Q.1cb5edc-1:user/release-keys,A72 5G,Oppo,PDYM20,OPPO,OPPO,Dimensity 720 5G,MediaTek,mt6853,31,SP1A.210812.016,FALSE,"M_V3_P10,M_V3_P10",7561,111736,FALSE,0,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0.9628,TRUE,TRUE,TRUE,,TRUE,Dialog,DIALOG,413,2,                ,,,413,2,Dialog,Dialog,Dialog Axiata,86715505,5,tcp,6,15,15,0,TRUE,0,dialogbb,4,FALSE,1,30843,25958,,7.713,81.713,7.713,81.713,1,1,1,442,-297,9,,"Kallady, Sri Lanka",Kallady,locality,Sri Lanka,LK,Eastern Province,Batticaloa,,,232,232,0,TRUE,22,24.779,33.054,,66.271,126.083,561.921,35.8,1068.185,1471.781,6,0.0.0.0,3000,0.0.0.0,142,5.6,,117222,162948,16,11606,37736,51492,4,11088,111.223.160.0,2402:4000:1360::,18001,6.1.4,google,Colombo,Dialog Axiata PLC,6.9222,79.8604,223,Sri Lanka,LK,TRUE,TRUE,18001,4,-93,,,-8,,,0,,,,,,1,,0,,"[20000, 20000]",5231362,20435,65,,50034,,,1725,EARFCN,,[3],,FALSE,FALSE,FALSE,TRUE,FALSE,,LTE,LTE,FALSE,,5231362,413,2,,
10965292871,4906A39D15174047994974094E7E7F30,1,2025-06-28T13:22:42.000Z,2025-06-28T13:22:42.000Z,Asia/Colombo,505672290,samsung/a06xx/a06:14/UP1A.231005.007/A065FXXS4AYE2:user/release-keys,Galaxy A06,Samsung,SM-A065F,samsung,samsung,Helio G85,MediaTek,mt6768,34,UP1A.231005.007,FALSE,"A065FXXS4AYE1,A065FXXS4AYE1",3658,52898,FALSE,0,2,2,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0.6667,TRUE,TRUE,TRUE,TRUE,TRUE,Dialog,DIALOG,413,2,                ,,,413,2,Dialog,Dialog,Dialog Axiata,35228441,5,tcp,4,15,15,0,FALSE,0,dialogbb,4,FALSE,0,3405,1409,,6.471,80.124,6.472,80.125,1,1,4,680,-301,,0,"Horawala West, Sri Lanka",Horawala West,administrative_area_level_4,Sri Lanka,LK,Western Province,Kalutara,Horawala West,,298,298,0,FALSE,24,35.717,49.599,58.2163,9999.9999,,9999.9999,3816.287,5592.239,8183.148,6,0.0.0.0,3001,0.0.0.0,3003,10,8.4653,3151,5050,16,15004,151,3,4,4319,175.157.214.0,,18001,6.1.3,samsung,Anuradhapura,SLT Mobitel,8.3114,80.4037,207,Sri Lanka,LK,TRUE,FALSE,45356,4,-108,,,-11,,,0,,,,,-97,0,5,0,,,6689806,26132,151,,55502,,,1725,EARFCN,,[3],,FALSE,FALSE,FALSE,,TRUE,"All Cell,LTE",LTE,LTE,FALSE,,6689806,413,2,,
10964296134,5FADBCC304164661B54B9958E8E21A85,1,2025-06-28T01:00:35.000Z,2025-06-28T01:00:35.000Z,Asia/Colombo,460409816,Redmi/miel_in/miel:11/RP1A.200720.011/V13.0.5.0.RKEINXM:user/release-keys,Redmi Note 11S,Xiaomi,2201117SI,Xiaomi,Redmi,Helio G96,MediaTek,mt6781,30,RP1A.200720.011,FALSE,"MOLY.LR13.R2.MP.V16.P36,MOLY.LR13.R2.MP.V16.P36",5699,112966,FALSE,0,2,2,TRUE,,,FALSE,TRUE,0,0,,TRUE,TRUE,TRUE,,TRUE,Hutch,Hutch,413,8,DIALOG,413,2,413,8,Hutch,Hutch,Hutchison Telecommunications Lanka Private,86745705,5,tcp,4,15,15,0,FALSE,0,hutch,4,FALSE,0,30000,15000,,7.036,79.928,7.036,79.928,1,1,25,3165,-218,3,0,"Ragama, Sri Lanka",Ragama,locality,Sri Lanka,LK,Western Province,Gampaha,,,295,295,0,FALSE,18,27.894,41.448,27.0246,192.213,2177.648,3761.316,158.533,703.027,1973.759,9,10.30.116.0,28,10.1.1.0,31,7.1,7.6804,8009,13288,16,15009,7737,8401,4,9384,103.247.48.0,,17470,5.2.4,google,Colombo,Sri Lanka Telecom PLC,6.9271,79.8612,14,Sri Lanka,LK,TRUE,FALSE,9329,4,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,TRUE,"All Cell,LTE",LTE,LTE,FALSE,,545540,413,8,,
6649849019,770C4FB7A97440FC9CDC112AEA16F9F1,2,2025-06-28T05:05:01.000Z,2025-06-28T05:05:01.000Z,Asia/Colombo,316154420,,iPhone 13 Pro Max,Apple,"iPhone14,3",,,Snapdragon X60 5G,Qualcomm,,15.5,,,,,0,,,,,,,,,,,,,,,,,,Hutch,,413,8,Carrier,413,5,,,Hutch,Hutch,Hutch Sri Lanka,,,tcp,4,12,12,0,,,,4,,,,,,6.801,80.338,6.801,80.336,1,1,59,4000,41,48,,"Kuruwita, Sri Lanka",Kuruwita,locality,Sri Lanka,LK,Sabaragamuwa Province,Ratnapura,,,92,92,0,TRUE,22,30.201,42.599,40.3072,31.79,1662.879,2433.957,33.186,741.292,1198,10,10.30.106.0,25,10.1.1.0,24,7,7.6098,10378,11633,16,9147,2891,1475,4,3925,103.21.164.0,,132447,6.1.2.4,,Kollupitiya,Lanka Communication Pvt Ltd,6.9128,79.8507,55,Sri Lanka,LK,TRUE,FALSE,5087,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,"5G Capable,All Cell,LTE,Modern Chipset",LTE,LTE,,,,,,,
10964972069,949F2D3215EB46CEA72A0CCA87A4E838,1,2025-06-28T10:08:01.000Z,2025-06-28T10:08:01.000Z,Asia/Colombo,505180236,OnePlus/CPH2645/OP5D3BL1:15/UKQ1.231108.001/V.R4T3.1db78e2-35dd-2da95:user/release-keys,OnePlus 13R,OnePlus,CPH2645,OnePlus,OnePlus,Snapdragon 8 Gen 3,Qualcomm,qcom,35,UKQ1.231108.001,FALSE,"Q_V1_P14,Q_V1_P14",11248,225137,TRUE,0,2,2,TRUE,TRUE,TRUE,FALSE,TRUE,0,2,0.9917,TRUE,TRUE,TRUE,,TRUE,Hutch,Hutch,413,8,DIALOG,413,2,413,2,Dialog,Hutch,Hutch Sri Lanka,86277907,5,tcp,4,15,15,0,TRUE,,hutchnet,4,,1,30000,15000,,6.756,79.902,6.756,79.902,1,1,9,3596,-272,3,0.03,"Panadura, Sri Lanka",Panadura,locality,Sri Lanka,LK,Western Province,Kalutara,,12500,203,203,0,TRUE,21,28.459,36.939,29.9373,50.92,1019.376,2381.905,44.182,937.266,1566.315,7,10.30.106.0,37,10.1.1.0,33,5.7,4.3144,14759,18847,16,10412,6831,11233,4,14549,45.121.88.0,,132447,6.1.4,google,Anuradhapura,SLT Mobitel,8.3114,80.4037,182,Sri Lanka,LK,TRUE,FALSE,45356,4,-95,,,-10,,,,,,,,-65,,,,15000,,5214472,20369,267,,55504,,,525,EARFCN,,[1],,TRUE,FALSE,FALSE,TRUE,TRUE,"5G Capable,All Cell,LTE,Modern Chipset",LTE,LTE,FALSE,,765440,,,,
10965519793,636A5C449ABE4CB3998182D6B70CEC28,1,2025-06-28T15:26:16.000Z,2025-06-28T15:26:16.000Z,Asia/Colombo,500866607,Redmi/pond_global/pond:15/AP3A.240905.015.A2/OS2.0.3.0.VGTMIXM:user/release-keys,Redmi 14C,Xiaomi,2409BRN2CA,Xiaomi,Redmi,Helio G81 Ultra,MediaTek,mt6768,35,AP3A.240905.015.A2,FALSE,"MOLY.LR12A.R3.MP.V315.P19,MOLY.LR12A.R3.MP.V315.P19",7701,229596,FALSE,0,2,2,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,Hutch,Hutch,413,8,                ,,,413,8,Hutch,Hutch,Hutch Sri Lanka,86903107,5,tcp,4,15,15,0,FALSE,0,hutchwap.com,4,FALSE,0,18606,8079,,7.132,80.097,7.132,80.097,1,1,3,2027,-108,26,0,"Nittambuwa, Sri Lanka",Nittambuwa,locality,Sri Lanka,LK,Western Province,Gampaha,,,298,237,0.2047,FALSE,41,129.726,301.488,212.7127,196.605,1387.947,4368.268,20.436,1345.006,7174.338,9,10.30.106.0,48,10.1.1.0,146,67,99.7576,15884,25821,16,15002,517,245,4,3956,45.121.91.0,,132447,6.1.4,google,Kollupitiya,Lanka Communication Pvt Ltd,6.9128,79.8507,37,Sri Lanka,LK,TRUE,FALSE,5087,4,-106,,,-13,,,5,,,,,,11,,0,,,779524,3045,3,,40041,,,1550,EARFCN,,[3],,FALSE,FALSE,FALSE,,TRUE,"All Cell,LTE,Modern Chipset",LTE,LTE,FALSE,,779524,413,8,,
10964244018,199B055BDF754DB483642E9E73BF017D,1,2025-06-28T00:01:14.000Z,2025-06-28T00:01:14.000Z,Asia/Colombo,493089960,HONOR/JDY-LX2/HNJDY-M1:14/HONORJDY-L52/8.0.0.227C636E2R2P2:user/release-keys,X6b,HONOR,JDY-LX2,HONOR,HONOR,Helio G85,MediaTek,mt6768,34,HONORJDY-L52,FALSE,"MOLY.LR12A.R2.TC36.PR1.SP.V1.0.6.P187,MOLY.LR12A.R2.TC36.PR1.SP.V1.0.6.P187",5767,109339,FALSE,,2,2,TRUE,TRUE,,TRUE,TRUE,0,0,0.5075,TRUE,TRUE,TRUE,TRUE,TRUE,Hutch,Hutch,413,8,DIALOG,413,2,413,8,Hutch,Hutch,Hutchison Telecommunications Lanka Private,86291207,5,tcp,4,15,15,0,FALSE,,internet,4,FALSE,0,14,14,,6.899,79.92,6.899,79.92,1,1,5,3104,-297,9,2.49,"Battaramulla, Sri Jayawardenepura Kotte, Sri Lanka",Battaramulla,locality,Sri Lanka,LK,Western Province,Colombo,Sri Jayawardenepura Kotte,10120,296,296,0,FALSE,16,19.238,2333.725,27.9343,43.031,528.827,1436.517,190.317,502.238,3444.786,7,10.30.116.0,38,10.1.1.0,25,514.9,5.606,37908,65729,16,15002,25947,35534,4,12944,103.247.48.0,,17470,6.1.4,google,Colombo,SLT Mobitel,6.9167,79.8333,10,Sri Lanka,LK,TRUE,FALSE,45356,4,-91,,,-10,,,0,,,,,,5,,0,,,716802,2800,360,,40046,,,1550,EARFCN,,[3],,FALSE,FALSE,FALSE,,TRUE,"All Cell,LTE",LTE,LTE,FALSE,,716802,413,8,,
10964627441,4C23A2658B8247D7A348EC3F62CA09B8,1,2025-06-28T06:11:45.000Z,2025-06-28T06:11:45.000Z,Asia/Colombo,443441438,samsung/a73xqxx/a73xq:15/AP3A.240905.015.A2/A736BXXUAFYE6:user/release-keys,Galaxy A73 5G,Samsung,SM-A736B,samsung,samsung,Snapdragon 778G 5G,Qualcomm,qcom,35,AP3A.240905.015.A2,FALSE,A736BXXUAFYE6,5336,113379,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,0.8867,TRUE,TRUE,TRUE,,TRUE,SLT-Mobitel,SLTMobitel,413,1,                ,,,413,1,SLT-Mobitel,SLT-Mobitel,Mobitel,35085299,5,tcp,6,15,15,0,FALSE,0,mobitel,4,FALSE,0,42723,18121,,6.959,79.911,6.959,79.911,1,1,4,440,-291,3,0,"Wedamulla, Sri Lanka",Wedamulla,administrative_area_level_4,Sri Lanka,LK,Western Province,Gampaha,Wedamulla,,212,212,0,TRUE,18,23.357,43.773,24.9574,119.499,617.117,1840.688,39.462,191.85,279.879,7,0.0.0.0,3002,0.0.0.0,124,9.3,3.8073,50034,62542,16,10613,41278,28674,4,5732,43.250.242.0,2407:c00:c001::,45356,6.1.4,google,Kollupitiya,Lanka Communication Pvt Ltd,6.9128,79.8507,9,Sri Lanka,LK,TRUE,FALSE,5087,4,-91,,,-9,,,6,,,,,-61,1,,0,,,779009,3043,224,,43562,,,1300,EARFCN,,[3],,FALSE,FALSE,FALSE,TRUE,TRUE,"5G Capable,All Cell,LTE,Modern Chipset",LTE,LTE,FALSE,,779009,413,1,,
6649777889,C4F72ED94AC84A8C86843850EA0FAD4B,2,2025-06-28T03:19:04.000Z,2025-06-28T03:19:04.000Z,Asia/Colombo,317804085,,iPhone 13,Apple,"iPhone14,5",,,Snapdragon X60 5G,Qualcomm,,18.5,,,,,0,,,,,,,,,,,,,,,,,,Dialog,Dialog,413,2,,,,,,Dialog,Dialog,Dialog Axiata,,,tcp,6,17,17,0,,,,4,,,,,,9.317,80.397,9.317,80.397,1,1,70,20000,45,30,,"Ariviyal Nagar, Sri Lanka",Ariviyal Nagar,locality,Sri Lanka,LK,Northern Province,Kilinochchi,,,181,181,0,TRUE,15,19.192,38.818,197.202,16.521,337.303,873.095,33.523,302.618,516.89,7,0.0.0.0,,0.0.0.0,,6.2,3.5191,615192,717601,46,9705,19558,27354,4,11543,175.157.127.0,2402:4000:1266::,18001,6.1.2.4,,Colombo,Dialog Axiata PLC,6.9222,79.8604,273,Sri Lanka,LK,TRUE,TRUE,18001,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,"5G,5G Capable,All Cell,Modern Chipset",NRNSA,NRNSA,,,,,,,
